name,gender,boy,girl
Abeer ,M,1,0
Abeghoni,M,1,0
Abeil,M,2,0
Abeir,F,0,1
Abel,M,207,0
Abel ,M,5,0
Abelardo,M,1,0
Abel-Befekadu,M,1,0
Abele,M,1,0
Abell,M,1,0
Abem,M,2,0
Abem ,M,1,0
Abenaa,F,0,1
Abendo,M,1,0
Abenezer,M,8,0
Abenzer,M,1,0
Aber,M,1,0
Aberaham,M,1,0
Abesari,M,1,0
Abey,M,1,0
Abhan,M,2,0
Abhash,M,1,0
Abhav,M,1,0
Abhay,M,25,0
Abhay ,M,3,0
Abhaya,M,1,0
Abhaydeep,M,2,0
Abhayjeet,M,4,0
Abhayjot,M,1,0
Abhaykaran,M,1,0
Abhaynaaz,M,1,0
Abhaynoor,M,1,0
Abhaypartap,M,1,0
Abhaypratap,M,1,0
Abhayroop,M,1,0
Abhayveer,M,3,0
Abhayvir,M,1,0
Abheman,M,1,0
Abhey,M,1,0
Abheyraj,M,1,0
Abheytej,M,1,0
Abhi,M,4,0
Abhideep,M,1,0
Abhigyan,M,1,0
Abhijay,M,1,0
Abhijeet,M,9,0
Abhijit,M,4,0
Abhijit ,M,1,0
Abhijitpal,M,1,0
Abhijot,M,31,0
Abhik,M,6,0
Abhikaran,M,1,0
Abhimaan,M,3,0
Abhimanyu,M,3,0
Abhimanyu ,M,1,0
Abhimeet,M,1,0
Abhin,M,2,0
Abhinandan,M,1,0
Abhinash,M,2,0
Abhinav,M,19,0
Abhinav ,M,1,0
Abhinesh,M,1,0
Abhinit,M,1,0
Abhir,M,2,0
Abhiraaj,M,1,0
Abhiraam,M,1,0
Abhiraj,M,5,0
Abhiram,M,2,0
Abhiroop,M,2,0
Abhisek,M,1,0
Abhishaan ,M,1,0
Abhishaik,M,1,0
Abhishek,M,11,0
Abhishka,M,1,0
Abhitaj,M,1,0
Abhitesh,M,1,0
Abhneek,M,1,0
Abhyuday,M,1,0
Abi,M,1,0
Abiam,M,1,0
Abic,M,1,0
Abid,M,14,0
Abidah,F,0,1
Abid-Ali,M,1,0
Abidan,M,1,0
Abidan ,M,1,0
Abidellehedi,M,1,0
Abidemi,M,2,0
Abie,M,1,0
Abiel,M,9,0
Abiel ,M,1,0
Abier,M,1,0
Abieyuwa,M,1,0
Abigail,F,0,33
Abigall,F,0,1
Abigun,M,1,0
Abiheek,M,1,0
Abiib ,M,1,0
Abijeet,M,1,0
Abijot,M,2,0
Abin,M,2,0
Abinaash,M,1,0
Abinadi ,M,1,0
Abinaik,M,1,0
Abinav,M,2,0
Abinear,M,1,0
Abiner,M,1,0
Abiner ,M,1,0
Abiodun,M,1,0
Abiola,M,1,0
Abir,M,8,4
Abir ,M,2,0
Abiraj,M,1,0
Abiral,M,3,0
Abisai,M,1,0
Abishai,M,3,0
Abishai ,M,1,0
Abishek,M,1,0
Abitameem,M,1,0
Abith,M,1,0
Abizer,M,1,0
Abjeet,M,1,0
Abkem ,M,1,0
Ablaza,M,1,0
Able,M,3,0
Able ,M,1,0
Abneet,M,2,0
Abner,M,8,0
Abnet,M,1,0
Abnezer,M,1,0
Abo,M,1,0
Aboalfaddal,M,1,0
Abobacker,M,1,0
Abo-Bakeir,M,1,0
Abokor,M,1,0
Abolfazl,M,1,0
Abolfedhl,M,1,0
Abongnwi,M,1,0
Aboss,M,1,0
Abot,M,1,0
Abotalib,M,1,0
Aboubacar,M,3,0
Abozar,M,1,0
Abra,F,0,1
Abraam,M,1,0
Abraar,M,1,0
Abraham,M,243,0
Abraham-Earl,M,1,0
Abraheem,M,2,0
